campaign_id,campaign_name,channel,region,campaign_date,ad_spend,revenue_generated
1,Spring Launch ,Google Ads,East,2024-09-07,3807.95,16385.07
2,Cyber Monday,Google Ads,North,2024-04-05,7346.74,21266.12
3,Cyber Monday,Instagram,West,2024-10-11,,1848.47
4,Summer Promo,Instagram,East,2024-04-14,675.03,2676.29
5,New Year Push,Facebook Ads,West,2024-03-21,6051.04,20163.82
6,Spring Launch,Google Ads,South,2024-10-23,303.79,1330.49
7,Black Friday,Email,East,2024-12-29,8341.18,11255.22
8,Summer Promo,Instagram,South,2025-04-18,1900.07,2343.96
9,Winter Sale,Instagram,North,2024-11-19,3112.0,8088.17
10,Back To School,Affiliate,West,2025-04-14,4376.26,7286.11
11,Cyber Monday,YouTube,East,2024-08-12,6157.34,6514.31
12,Summer Promo,Email,West,2024-03-06,2992.23,5881.07
13,Winter Sale ,Facebook Ads,Central,2024-09-30,4615.09,16802.18
14,Holiday Deals,Email,Central,2024-04-18,2076.77,5310.17
15,Summer Promo,Google Ads,Central,2024-11-27,5964.9,4090.74
16,Back To School,google ads,South,2025-08-03,6114.69,7228.15
17,Summer Promo,Email,West,2025-07-16,744.01,3195.93
18,Back To School,LinkedIn,West,2025-01-17,9659.76,36065.58
19,Back To School,instagram,North,2024-03-13,3115.68,2775.1
20,Back To School,LinkedIn,West,2024-08-07,6873.91,15539.23
21,New Year Push,YouTube,South,2024-04-06,1308.18,3245.21
22,Spring Launch,Google Ads,West,2024-12-13,440.45,1822.27
23,Summer Promo ,LinkedIn,West,2024-09-12,2661.92,8385.29
24,Winter Sale,Facebook Ads,South,2024-06-19,3185.94,8220.59
25,Winter Sale,YouTube,East,2025-04-10,5512.43,6832.2
26,New Year Push,email,South,2024-10-30,9698.89,34921.16
27,Winter Sale,Affiliate,Central,2025-06-27,9401.04,38349.75
28,Back To School,YouTube,North,2025-08-06,6019.21,25205.42
29,Black Friday,LinkedIn,South,2024-11-17,976.08,1253.22
30,Spring Launch,Google Ads,West,2025-07-30,547.75,986.67
31,Spring Launch,Instagram,East,2024-10-18,3947.91,6259.0
32,Winter Sale,LinkedIn,North,2024-05-17,8304.5,16002.88
33,Back To School,tiktok,South,2024-09-27,2881.25,7695.2
34,Holiday Deals,Google Ads,North,2024-12-07,1495.15,5545.19
35,Cyber Monday,google ads,North,2024-03-18,838.05,3727.27
36,Summer Promo,YouTube,South,2024-02-12,7745.22,10029.0
37,Back To School,Instagram,North,2024-12-28,154.67,581.84
38,Back To School,Email,South,2025-02-26,7097.89,
39,Back To School,LinkedIn,South,2024-04-20,,6158.9
40,Black Friday,LinkedIn,South,2024-08-16,3648.81,
41,Holiday Deals,tiktok,Central,2025-02-13,8644.72,25875.31
42,Holiday Deals,Email,Central,2024-09-28,3375.89,
138,Spring Launch,YouTube,Central,2024-07-13,3178.72,5724.03
44,Back To School,TikTok,West,2024-03-12,7323.1,22337.14
45,Holiday Deals,LinkedIn,West,2024-11-30,8883.41,21221.22
46,Summer Promo,LinkedIn,West,2025-07-15,1283.98,4305.16
47,Black Friday,Affiliate,West,2025-03-28,7631.77,20950.04
48,Spring Launch,LinkedIn,Central,2024-12-09,7732.58,19139.55
49,Summer Promo,Google Ads,North,2024-09-07,5275.06,11658.75
193,Back To School,YouTube,West,2025-02-13,351.65,327.59
51,Cyber Monday,Instagram,South,2025-06-14,411.15,1252.22
52,New Year Push,TikTok,West,2025-05-31,3212.12,8140.42
53,New Year Push ,LinkedIn,South,2024-10-10,9084.91,13601.64
54,Holiday Deals,Instagram,East,2024-12-09,4162.79,14662.2
55,Back To School,Facebook Ads,West,2025-02-21,2365.1,1910.81
56,Winter Sale,YouTube,West,2024-01-07,2968.54,3398.64
57,Back To School,Affiliate,South,2024-10-06,,34727.05
58,Summer Promo,affiliate,South,2025-06-30,6370.7,
59,Summer Promo,Affiliate,South,2024-02-21,8056.35,10040.47
60,Holiday Deals,YouTube,East,2024-03-24,8936.33,23747.13
61,Spring Launch,Google Ads,North,2024-09-10,,33057.46
62,Back To School,Affiliate,East,2025-01-12,3248.23,3054.01
63,Holiday Deals,Facebook Ads,Central,2024-01-27,2356.56,5204.3
64,Back To School,Facebook Ads,Central,2024-09-05,8198.35,32325.46
65,Winter Sale,tiktok,Central,2025-03-14,168.83,429.33
66,New Year Push,Facebook Ads,West,2025-01-05,4232.37,5876.35
67,Holiday Deals,Affiliate,West,2025-03-22,1286.67,2380.93
68,Holiday Deals,Affiliate,South,2025-04-20,9434.81,16914.84
69,New Year Push ,Instagram,East,2024-09-21,5236.03,17342.13
70,Back To School,Facebook Ads,South,2025-02-20,3699.93,16232.07
71,Winter Sale,Facebook Ads,East,2024-08-14,9628.23,14510.99
72,Black Friday,YouTube,Central,2024-12-04,5022.76,8556.34
73,Black Friday,Facebook Ads,Central,2024-07-08,2919.92,1890.79
137,Holiday Deals ,Facebook Ads,South,2024-10-30,6134.69,15402.46
75,Winter Sale,LinkedIn,South,2025-05-17,,984.32
76,Winter Sale ,LinkedIn,West,2024-04-26,9091.83,13258.14
77,Summer Promo,LinkedIn,North,2024-09-11,1534.46,3771.41
78,Cyber Monday,Affiliate,West,2024-10-31,9857.94,14473.64
79,Spring Launch ,instagram,South,2024-09-27,6754.14,23953.41
80,New Year Push,Affiliate,East,2024-02-03,2452.61,8370.43
81,Holiday Deals ,Instagram,West,2024-04-27,3741.05,11332.48
82,Summer Promo,LinkedIn,Central,2025-08-05,6371.94,16841.67
83,Holiday Deals ,Affiliate,West,2024-03-23,993.87,3817.66
84,Back To School,Google Ads,East,2025-08-13,3275.72,
85,Summer Promo,YouTube,West,2024-04-03,503.67,1442.3
86,Cyber Monday,Affiliate,East,2025-02-14,6807.89,3855.66
87,Cyber Monday,Google Ads,Central,2025-04-18,5169.72,7268.54
88,Winter Sale ,Instagram,East,2025-07-16,6487.21,7768.21
89,Back To School,Email,East,2025-07-18,6940.28,
90,Spring Launch,Email,West,2024-10-25,9373.63,9843.1
91,Summer Promo,YouTube,South,2025-06-04,3476.56,3316.27
92,Black Friday,LinkedIn,North,2024-10-16,9254.47,37104.48
93,New Year Push,Affiliate,East,2024-12-06,2653.62,8332.2
94,Back To School,YouTube,South,2025-02-24,8190.5,
95,Summer Promo,Affiliate,North,2024-05-09,5343.54,7841.16
96,New Year Push,Google Ads,South,2025-02-23,1021.72,4177.67
97,Cyber Monday,Facebook Ads,East,2025-06-30,9014.14,27334.53
98,Winter Sale,facebook ads,South,2024-10-21,3456.39,6556.21
99,Spring Launch,Affiliate,South,2024-11-02,,29792.31
100,Summer Promo,instagram,Central,2025-02-25,8882.16,32149.0
101,Back To School,Affiliate,Central,2024-05-26,6456.11,5400.92
102,New Year Push,LinkedIn,Central,2024-06-10,1700.12,6960.66
103,Holiday Deals,Affiliate,East,2024-07-22,6103.65,3276.37
104,Holiday Deals ,LinkedIn,North,2025-02-09,1104.57,3483.82
105,New Year Push,LinkedIn,South,2024-12-26,150.11,171.61
106,Summer Promo,Facebook Ads,North,2024-11-12,,18077.76
107,Black Friday,YouTube,South,2024-07-24,6554.42,9157.03
108,Summer Promo,LinkedIn,West,2024-10-29,7150.57,10361.15
109,Back To School,YouTube,Central,2025-01-09,3321.46,11578.5
110,Holiday Deals,YouTube,East,2024-04-20,6531.37,25452.05
111,Back To School,facebook ads,West,2024-11-05,6610.37,18332.11
112,Spring Launch,Facebook Ads,South,2025-07-04,1027.38,2024.83
113,Cyber Monday,Email,West,2024-04-11,2725.5,4022.73
114,Back To School,Affiliate,West,2024-08-29,9732.8,20170.17
115,Black Friday,Google Ads,West,2024-10-09,8931.26,27013.08
116,Winter Sale,Google Ads,East,2024-09-06,7968.63,20005.63
117,Back To School,Instagram,East,2024-05-31,5811.35,14354.45
118,Holiday Deals ,Email,North,2024-01-27,2032.91,6891.18
119,Holiday Deals,Google Ads,South,2025-03-07,2879.65,1719.91
120,Spring Launch,Affiliate,Central,2024-08-14,,7843.01
121,New Year Push,Google Ads,North,2025-05-05,9410.54,40613.2
122,Spring Launch,TikTok,Central,2024-05-31,9157.16,18136.99
123,Holiday Deals,Affiliate,Central,2025-03-16,253.02,1066.04
124,Back To School,YouTube,West,2024-08-21,4339.02,18946.85
125,Black Friday,linkedin,East,2024-06-05,9639.84,37711.42
126,Black Friday,Email,Central,2024-03-02,3015.04,6151.86
127,Cyber Monday,Google Ads,East,2024-11-15,8526.25,15071.75
128,Spring Launch,TikTok,Central,2025-01-11,1777.98,4848.92
129,Winter Sale,LinkedIn,North,2024-07-03,9367.93,30765.4
130,Summer Promo,YouTube,North,2024-05-25,5743.61,5104.38
131,New Year Push,TikTok,South,2025-01-13,6188.57,27602.36
132,Summer Promo,Email,Central,2024-02-20,1486.83,3826.09
133,Holiday Deals,Instagram,Central,2024-04-26,8785.99,30426.54
134,Holiday Deals,Google Ads,South,2025-02-08,7000.46,23171.08
135,Holiday Deals,LinkedIn,East,2024-05-02,3658.96,
136,Black Friday,Facebook Ads,West,2024-02-13,8112.68,30345.1
137,Cyber Monday,YouTube,East,2024-04-27,8684.02,36064.41
138,Black Friday,Facebook Ads,West,2024-04-18,5162.29,12937.04
139,Black Friday,Instagram,East,2024-06-21,8003.12,24808.52
140,Black Friday,Email,South,2024-04-15,7049.47,25964.4
141,Summer Promo,Affiliate,West,2025-07-31,8911.05,16503.09
142,Black Friday ,TikTok,South,2025-03-26,3818.27,3344.53
143,Spring Launch,LinkedIn,West,2025-04-07,5824.97,
144,Spring Launch,YouTube,West,2025-08-17,4709.42,12576.88
145,Back To School,TikTok,Central,2025-05-02,2936.76,8408.92
146,Spring Launch,Email,North,2024-09-10,401.95,261.02
147,Holiday Deals,YouTube,West,2024-12-12,8243.75,15999.16
148,Cyber Monday,LinkedIn,East,2024-06-02,1357.9,3515.57
149,Cyber Monday,Email,Central,2024-03-27,7722.94,10528.56
150,Spring Launch,YouTube,Central,2025-01-05,6266.62,
151,Back To School,Instagram,South,2024-06-07,611.65,1605.84
152,Winter Sale,TikTok,Central,2024-05-14,5452.29,16627.96
153,Summer Promo,Affiliate,North,2025-02-24,7288.3,32093.36
154,New Year Push,Instagram,Central,2024-09-01,5211.37,9337.87
155,New Year Push,Affiliate,East,2025-01-26,7972.34,12622.84
156,Holiday Deals,Google Ads,West,2025-01-15,4445.82,3618.12
157,Summer Promo,LinkedIn,West,2025-06-09,350.97,1526.93
158,Black Friday,google ads,West,2024-02-24,8376.2,27506.58
159,Black Friday,Facebook Ads,East,2024-05-29,4148.63,4950.05
160,New Year Push,Affiliate,Central,2024-01-06,,2474.7
161,Cyber Monday,Facebook Ads,East,2024-08-31,,18596.51
162,Spring Launch,Affiliate,Central,2025-07-02,6635.95,
163,Black Friday,Instagram,Central,2025-03-02,9553.17,32973.6
164,Winter Sale,youtube,West,2024-02-14,5588.11,16467.51
165,Black Friday,Instagram,North,2025-08-18,4254.04,6342.45
166,Summer Promo,Affiliate,West,2024-07-05,3624.13,12798.2
167,Winter Sale,Instagram,North,2024-11-19,242.5,233.84
168,Back To School,LinkedIn,East,2024-02-18,555.43,368.2
169,New Year Push,YouTube,East,2024-07-10,8569.06,28403.28
170,Cyber Monday,Facebook Ads,West,2024-07-03,4794.32,4273.35
171,Cyber Monday,Email,West,2024-12-25,4967.0,11890.44
172,Winter Sale,facebook ads,West,2025-01-07,1814.7,4056.59
173,New Year Push ,Google Ads,South,2024-03-09,4045.2,11987.55
174,Summer Promo,Affiliate,East,2025-01-15,6387.43,4351.22
175,Holiday Deals,Instagram,North,2024-01-27,3808.66,11439.08
176,Holiday Deals ,Affiliate,South,2024-10-19,5081.05,19948.0
177,Summer Promo,Affiliate,North,2024-11-23,6621.07,7625.74
178,Summer Promo,Email,East,2025-06-04,798.63,2451.54
179,Black Friday,TikTok,West,2025-07-18,362.46,1030.51
180,New Year Push,YouTube,West,2025-08-11,9408.28,26361.03
181,Black Friday,Email,Central,2024-07-05,3942.88,12117.07
182,Summer Promo,LinkedIn,South,2024-06-14,4636.7,12437.8
183,Spring Launch,linkedin,South,2025-07-18,9420.5,19259.37
184,Summer Promo ,email,Central,2024-12-11,9615.79,39630.54
185,Holiday Deals,Instagram,Central,2025-03-02,,1584.69
186,Holiday Deals,Affiliate,South,2025-02-19,1097.7,628.86
187,Back To School,TikTok,Central,2024-05-27,1034.99,3345.12
188,Summer Promo,TikTok,Central,2025-07-29,804.77,1429.19
189,Winter Sale,LinkedIn,West,2025-03-04,8464.27,5020.05
190,Black Friday ,Instagram,South,2025-05-25,8163.24,13285.01
191,Cyber Monday,Affiliate,South,2024-08-08,,4173.87
192,New Year Push,LinkedIn,Central,2024-01-09,6326.53,25368.68
193,Black Friday,google ads,West,2024-02-22,7377.2,27398.36
194,Holiday Deals,Facebook Ads,South,2024-04-09,2892.14,3498.79
195,Back To School,YouTube,Central,2024-02-11,7531.09,
196,Summer Promo,TikTok,Central,2024-11-22,9906.0,21302.56
197,New Year Push,LinkedIn,West,2024-01-18,3782.98,13640.11
198,Winter Sale,Affiliate,East,2025-08-15,3473.96,14670.63
199,Cyber Monday,Email,South,2024-02-02,8598.29,19053.61
200,Cyber Monday ,Instagram,West,2025-05-28,7533.62,26504.57
201,Summer Promo,Instagram,Central,2024-11-28,1120.93,4607.26
202,Black Friday,TikTok,East,2025-05-10,5102.0,19417.34
203,Holiday Deals,LinkedIn,South,2025-05-15,3268.49,13342.28
204,Spring Launch,YouTube,West,2024-12-19,3953.1,2147.92
205,Black Friday,Affiliate,East,2025-05-05,9063.28,7841.07
206,Spring Launch,instagram,South,2024-02-21,3261.21,14024.01
207,New Year Push,Facebook Ads,South,2024-01-06,9511.01,26571.4
208,New Year Push,affiliate,South,2024-10-21,6355.19,14577.42
209,Winter Sale,Email,West,2024-06-29,,5449.04
210,Holiday Deals,Google Ads,North,2024-11-01,6757.93,23716.94
211,New Year Push,Email,Central,2025-04-24,7936.63,29035.94
212,Summer Promo,Google Ads,East,2024-10-29,1002.94,2484.97
213,Cyber Monday,TikTok,North,2025-02-14,669.83,1807.28
214,Holiday Deals ,YouTube,South,2025-04-02,4471.15,18111.81
215,Black Friday,Instagram,North,2024-05-01,3574.06,3460.65
216,Holiday Deals,Facebook Ads,East,2025-01-11,1515.62,5374.45
217,Black Friday,YouTube,Central,2025-04-27,6220.36,5626.26
218,Spring Launch,Affiliate,Central,2025-01-05,932.66,3081.39
219,Summer Promo,Email,East,2025-06-16,820.35,3107.03
220,New Year Push,Google Ads,West,2024-05-15,7091.8,5853.54
221,Winter Sale ,YouTube,East,2024-01-04,939.89,4179.28
222,Winter Sale,Facebook Ads,West,2024-02-02,3805.28,7544.23
223,Cyber Monday,TikTok,West,2025-04-04,8146.72,34941.24
224,Summer Promo,TikTok,North,2024-07-01,9861.41,34648.19
225,Winter Sale,LinkedIn,West,2025-07-11,3824.97,3190.04
226,Back To School ,Facebook Ads,North,2025-03-05,7793.75,21305.13
227,Winter Sale,Affiliate,Central,2024-02-19,,17738.47
228,Winter Sale,Email,Central,2024-10-23,1200.86,2966.73
229,Black Friday,Instagram,East,2024-05-26,212.4,504.37
230,Summer Promo,YouTube,Central,2025-05-22,657.4,
231,Cyber Monday,YouTube,South,2024-11-03,1263.51,3912.89
232,Summer Promo,Affiliate,North,2025-07-29,7485.84,21210.94
233,Black Friday,Facebook Ads,West,2025-01-14,9625.51,19246.04
234,Winter Sale,Facebook Ads,South,2025-07-26,2928.55,11639.22
235,Back To School,Instagram,North,2025-05-05,2313.6,10070.85
236,Black Friday,LinkedIn,West,2025-04-22,220.33,964.94
237,Spring Launch,Affiliate,East,2024-07-27,527.28,2143.17
238,Holiday Deals,YouTube,East,2024-06-05,5324.24,23809.25
239,Black Friday,LinkedIn,West,2025-05-17,830.59,2255.4
240,Summer Promo ,google ads,Central,2024-02-04,9696.1,25136.09
241,Summer Promo,Instagram,North,2024-06-03,6331.05,
185,New Year Push,Affiliate,North,2024-01-07,4599.96,13846.95
243,Winter Sale,YouTube,South,2024-04-19,5884.71,24154.57
244,Black Friday,LinkedIn,West,2024-03-21,549.92,892.99
245,Spring Launch,google ads,North,2025-02-19,9509.07,38616.86
246,New Year Push,YouTube,East,2025-08-02,4611.0,13743.23
247,New Year Push,LinkedIn,North,2024-03-17,2846.07,3564.66
248,Black Friday,google ads,South,2024-05-27,4690.61,8975.05
249,Back To School ,YouTube,Central,2024-12-05,5878.2,4766.86
250,Black Friday,Google Ads,North,2025-03-23,9746.51,43321.71
251,Black Friday,Google Ads,East,2025-04-06,7011.8,18541.9
252,Cyber Monday,Facebook Ads,Central,2024-10-29,3164.32,11882.59
253,Summer Promo,YouTube,East,2025-01-04,,7913.88
254,Summer Promo,facebook ads,South,2025-03-17,9118.18,34559.26
255,Spring Launch,TikTok,West,2024-01-13,9503.02,32337.62
256,Back To School,email,West,2024-06-22,6172.81,13413.34
257,Cyber Monday,LinkedIn,West,2024-03-19,9334.01,37002.4
258,New Year Push,Facebook Ads,South,2024-11-07,547.66,
259,New Year Push,TikTok,West,2024-05-19,3826.99,14321.41
260,Cyber Monday,TikTok,East,2025-05-17,9874.03,10877.9
261,Black Friday,Facebook Ads,Central,2024-07-23,5981.89,12104.73
262,New Year Push,Instagram,West,2024-10-25,9702.15,37532.53
263,Summer Promo,linkedin,South,2024-09-15,8399.45,19946.78
264,New Year Push,youtube,Central,2025-06-02,4206.71,6703.93
265,Spring Launch,Facebook Ads,South,2024-12-29,658.12,2605.42
266,Black Friday,YouTube,North,2024-01-11,8147.72,36655.54
267,Back To School,Affiliate,East,2025-02-04,9966.7,27126.63
268,New Year Push,Facebook Ads,East,2025-03-01,7712.98,33004.33
269,Black Friday,Affiliate,South,2025-06-17,8511.51,12676.98
270,Holiday Deals,Google Ads,North,2024-01-24,4560.39,4636.26
271,Back To School,Email,Central,2024-06-12,9545.11,27916.57
272,Summer Promo ,YouTube,West,2024-01-30,2363.56,7532.2
273,Back To School,Instagram,East,2024-03-05,6219.47,12020.06
274,Spring Launch,LinkedIn,West,2025-06-24,1224.22,3900.72
275,Black Friday ,Affiliate,Central,2024-06-25,5251.05,18847.45
276,Summer Promo,TikTok,North,2024-09-01,5249.62,20519.33
277,Summer Promo,YouTube,West,2024-07-09,5563.88,15265.91
278,Summer Promo,Affiliate,East,2024-05-23,8778.87,18557.93
279,New Year Push,Email,South,2025-01-28,1426.75,877.64
280,New Year Push,affiliate,South,2024-03-25,7575.86,22585.44
281,Holiday Deals,Email,West,2025-08-02,7070.39,9558.15
282,Black Friday,Google Ads,West,2025-07-13,1450.08,809.4
283,Winter Sale,Affiliate,East,2024-12-22,3570.82,10211.37
284,Back To School ,TikTok,Central,2025-03-14,3983.22,8961.85
285,Black Friday,LinkedIn,Central,2025-07-05,9051.17,17134.06
286,Spring Launch,Email,West,2024-03-01,5188.5,18858.18
287,Black Friday ,Instagram,West,2025-05-16,4025.77,12030.4
288,Spring Launch,YouTube,Central,2024-10-11,8637.4,37124.26
289,Spring Launch,Affiliate,East,2024-03-05,1556.03,6545.21
